"doctor","hospital","patient_count","medical_condition_count","total_billing_amount","average_billing_amount","average_patient_age","average_length_of_stay","first_admission_date","latest_admission_date"
Adam Jones,"Buckley Reed, and Owen",1,1,9001.94,9001.94,42,26,2019-05-09,2019-05-09
Adam Jones,Sparks LLC,1,1,3895.11,3895.11,39,18,2023-03-10,2023-03-10
Adam Juarez,Phelps Group,1,1,3331.93,3331.93,35,13,2020-04-18,2020-04-18
Adam Kaufman,"and Kim Tucker Hayes,",1,1,20084.50,20084.47,66,11,2021-07-27,2021-07-27
Adam Keller,Byrd-Scott,2,1,59858.60,29929.31,41,12,2019-07-20,2019-07-20
Adam Keller,Smith Ltd,1,1,4080.01,4080.01,53,6,2021-02-01,2021-02-01
Adam Kelley,Price-Nolan,1,1,2294.77,2294.77,68,25,2024-01-19,2024-01-19
Adam Kelly,Watson-Lopez,1,1,16573.40,16573.42,43,30,2021-12-10,2021-12-10
Adam King,Taylor-Whitaker,1,1,33062.10,33062.11,81,12,2019-08-25,2019-08-25
Adam Knox,Scott-Jensen,1,1,31992.80,31992.82,24,17,2019-11-17,2019-11-17
Adam Kramer,Mcdonald-Roberson,1,1,32548.70,32548.72,44,25,2020-11-29,2020-11-29
Adam Krueger DDS,Strong-Hill,2,1,15521.80,7760.90,67,1,2019-11-30,2019-11-30
Adam Lam,"Richards Lopez, and Vasquez",2,1,78671.70,39335.84,82,16,2020-09-17,2020-09-17
Adam Landry,Perry Inc,1,1,12855.50,12855.52,44,13,2019-08-26,2019-08-26
Adam Lane,White LLC,1,1,18155.20,18155.16,77,15,2019-08-24,2019-08-24
Adam Lewis,"and Rush, Moore Murillo",1,1,26105.50,26105.49,42,16,2024-01-20,2024-01-20
Adam Little,"Woods Shaw, Arnold and",1,1,22281.90,22281.91,83,1,2021-09-17,2021-09-17
Adam Lopez,Johnson-Wise,1,1,14320.70,14320.69,60,13,2021-10-09,2021-10-09
Adam Lucas,Haas Ltd,1,1,28138.30,28138.30,23,25,2023-10-11,2023-10-11
Adam Marsh,Richards LLC,1,1,38296.60,38296.57,37,14,2024-03-17,2024-03-17
Adam Marshall,Jones Ltd,1,1,27665.70,27665.66,24,17,2022-04-10,2022-04-10
Adam Martinez,Baldwin Ltd,1,1,17268.30,17268.33,43,5,2022-01-01,2022-01-01
Adam Mason,Bernard-Flores,1,1,38282.30,38282.32,33,22,2021-02-05,2021-02-05
Adam May,"and Robinson Santos Lewis,",1,1,9970.30,9970.30,41,24,2022-01-05,2022-01-05
Adam May,LLC Cole,1,1,12932.20,12932.24,65,7,2023-05-24,2023-05-24
Adam Mccoy,Holt and Sons,1,1,7093.44,7093.44,69,26,2022-07-19,2022-07-19
Adam Mckinney,and Owens Sons,1,1,16955.60,16955.56,39,4,2023-05-16,2023-05-16
Adam Medina,LLC Davis,1,1,49028.60,49028.64,35,30,2021-04-30,2021-04-30
Adam Meyer,Group Bush,1,1,46079.50,46079.53,28,29,2020-02-14,2020-02-14
Adam Miller,Armstrong-Cooper,1,1,25312.20,25312.19,44,8,2024-02-09,2024-02-09
Adam Miller,Ball Sons and,1,1,48111.90,48111.92,76,19,2021-10-30,2021-10-30
Adam Miller,Simmons-Bailey,1,1,25999.90,25999.93,20,19,2022-07-18,2022-07-18
Adam Mitchell,Long Ltd,1,1,51139.40,51139.36,45,3,2020-03-05,2020-03-05
Adam Moyer,"and Diaz Phillips Kim,",1,1,1187.78,1187.78,21,10,2022-07-26,2022-07-26
Adam Nelson,"and Salinas, Li Hayden",1,1,43401.40,43401.38,83,24,2021-01-10,2021-01-10
Adam Ochoa,Nguyen-Sims,1,1,19497.10,19497.13,67,18,2019-09-26,2019-09-26
Adam Page,Rodriguez Inc,1,1,33009.30,33009.27,52,23,2021-08-18,2021-08-18
Adam Parker,Harris-Melendez,1,1,15558.20,15558.25,72,10,2019-11-08,2019-11-08
Adam Parsons,Ltd Hernandez,1,1,42155.70,42155.70,57,23,2019-10-23,2019-10-23
Adam Patel,"Davis, Vazquez Cox and",1,1,11754.80,11754.75,72,1,2020-09-05,2020-09-05
Adam Payne,Silva-Patel,2,1,9313.76,4656.88,25,2,2021-08-27,2021-08-27
Adam Pearson,"Clark Holder, Perry and",1,1,19600.30,19600.26,81,3,2021-05-05,2021-05-05
Adam Perez,"Sandoval Cook and Gutierrez,",2,1,40549.90,20274.97,49,14,2020-11-23,2020-11-23
Adam Peterson,Proctor-Gibson,1,1,18144.90,18144.86,62,19,2020-06-08,2020-06-08
Adam Pierce,Krueger-Bennett,1,1,47876.60,47876.58,68,24,2022-05-18,2022-05-18
Adam Pineda,"Smith, Jones Parsons and",1,1,15567.50,15567.46,66,29,2022-10-29,2022-10-29
Adam Pitts,Ayers-Smith,1,1,,,79,4,2023-12-25,2023-12-25
Adam Pitts,"Richardson Jones, and Scott",2,1,39075.20,19537.59,68,9,2021-10-13,2021-10-13
Adam Price,Ingram-Benson,1,1,14654.70,14654.74,79,17,2023-03-11,2023-03-11
Adam Ray,"Bell Wallace, and Perkins",2,1,24083.40,12041.70,68,20,2021-07-03,2021-07-03
Adam Raymond,"and Robbins, Baker Smith",1,1,35862.40,35862.36,44,18,2019-06-18,2019-06-18
Adam Reed,LLC Hernandez,1,1,2978.67,2978.67,29,29,2020-03-14,2020-03-14
Adam Reeves,"and Leach Bradley Wade,",1,1,12699.30,12699.32,19,22,2022-07-18,2022-07-18
Adam Rice,Carr-Gutierrez,2,1,59358.60,29679.32,21,24,2023-06-29,2023-06-29
Adam Richard,Burch-Hernandez,1,1,15860.40,15860.36,26,27,2019-06-25,2019-06-25
Adam Richardson,"Hart and Winters, Giles",1,1,34517.80,34517.82,29,19,2019-12-30,2019-12-30
Adam Richardson,Snyder-Gutierrez,1,1,15346.20,15346.21,75,6,2022-06-15,2022-06-15
Adam Rivers,Porter Ltd,1,1,47173.80,47173.78,50,11,2021-09-18,2021-09-18
Adam Roberts,"Elliott Jones Hinton, and",1,1,26276.80,26276.79,74,26,2020-05-22,2020-05-22
Adam Robertson,Jenkins-Watts,1,1,20054.10,20054.06,26,1,2020-06-03,2020-06-03
Adam Robles,Cook-Stevens,1,1,1665.56,1665.56,53,21,2020-03-16,2020-03-16
Adam Rodgers,"and Fernandez Fisher, Owen",1,1,43748.70,43748.74,46,4,2020-01-09,2020-01-09
Adam Rodriguez,"Harris Aguilar and Ochoa,",1,1,40058.40,40058.35,34,1,2020-10-17,2020-10-17
Adam Rodriguez,"Lee, Hendrix Ashley and",1,1,5904.91,5904.91,81,28,2024-01-22,2024-01-22
Adam Ross,"Stokes Chambers and Martin,",1,1,11311.30,11311.33,56,2,2023-07-31,2023-07-31
Adam Sanders,Bowman-Jimenez,1,1,51567.30,51567.28,69,26,2020-12-03,2020-12-03
Adam Santiago,Inc Gonzales,1,1,1573.26,1573.26,60,30,2019-07-23,2019-07-23
Adam Schneider,"Cobb and Roy, Bennett",1,1,9465.65,9465.65,65,29,2022-07-12,2022-07-12
Adam Shannon,"and Rodriguez Hernandez, Gibson",1,1,44664.30,44664.33,50,5,2023-01-24,2023-01-24
Adam Shaw,Inc Rojas,1,1,44668.00,44667.99,76,11,2022-03-10,2022-03-10
Adam Sims,Woods-Gibson,1,1,35344.40,35344.43,31,14,2021-12-16,2021-12-16
Adam Singh,"Fields and West Brown,",1,1,28927.30,28927.27,51,3,2023-12-22,2023-12-22
Adam Smith,"and Green Miller Love,",1,1,16470.90,16470.95,53,5,2023-06-23,2023-06-23
Adam Smith,"and Taylor Murillo Estrada,",1,1,38126.70,38126.71,46,4,2022-06-07,2022-06-07
Adam Smith,Brown-Dixon,1,1,16516.00,16516.02,49,30,2020-12-31,2020-12-31
Adam Smith,Cannon PLC,1,1,47615.60,47615.65,29,10,2024-03-16,2024-03-16
Adam Smith,"Lewis Rogers Sandoval, and",1,1,6983.40,6983.40,22,23,2020-11-03,2020-11-03
Adam Smith,Smith-Williams,1,1,18975.80,18975.81,18,4,2020-02-12,2020-02-12
Adam Snyder,"and Garcia Ferguson, Davis",1,1,35923.60,35923.57,78,10,2023-08-24,2023-08-24
Adam Sparks,Franklin-Brown,2,1,15441.00,7720.50,20,7,2020-07-13,2020-07-13
Adam Stewart,"Johnson Owens and Mcgee,",1,1,43992.10,43992.13,23,10,2020-09-26,2020-09-26
Adam Thomas,Inc Brown,1,1,19289.70,19289.70,69,19,2022-01-03,2022-01-03
Adam Thompson,Inc Clark,1,1,41241.90,41241.89,50,12,2024-01-21,2024-01-21
Adam Thompson,Kennedy-Henry,1,1,42638.70,42638.69,19,19,2022-10-15,2022-10-15
Adam Torres,Fitzgerald Group,1,1,30103.50,30103.53,73,11,2022-05-13,2022-05-13
Adam Torres,Hernandez-Pearson,1,1,34251.20,34251.22,23,20,2021-01-30,2021-01-30
Adam Torres DDS,"and Rodriguez Anderson, Kennedy",1,1,6812.17,6812.17,55,2,2022-04-22,2022-04-22
Adam Turner,Lambert LLC,1,1,34124.90,34124.91,45,30,2020-06-02,2020-06-02
Adam Vega,Brooks-Wells,1,1,19995.20,19995.20,71,24,2021-01-09,2021-01-09
Adam Velazquez MD,Anderson PLC,1,1,5090.08,5090.08,22,5,2021-10-02,2021-10-02
Adam Velez,Walter-Holmes,1,1,18170.90,18170.90,45,8,2020-04-09,2020-04-09
Adam Walker,LLC Randolph,1,1,18902.60,18902.58,33,26,2019-09-10,2019-09-10
Adam Walker,"Robinson Marshall Henry, and",1,1,42166.80,42166.82,79,14,2019-08-17,2019-08-17
Adam Waller,"Baldwin Skinner and Berger,",1,1,20173.60,20173.59,31,9,2024-02-14,2024-02-14
Adam Walsh,Miller-Thomas,1,1,40559.10,40559.10,24,9,2020-12-14,2020-12-14
Adam Walton,"and Winters Sawyer, Williams",1,1,15210.50,15210.48,42,4,2020-12-28,2020-12-28
Adam Watson,Figueroa-Johnson,1,1,10688.20,10688.25,28,27,2022-07-01,2022-07-01
Adam Watson,Welch Group,1,1,40528.80,40528.77,64,29,2021-12-30,2021-12-30
Adam West,LLC Ortiz,1,1,11424.50,11424.48,64,30,2020-04-30,2020-04-30
Adam White,Ltd Garner,1,1,30565.80,30565.84,21,29,2020-01-10,2020-01-10
Adam Whitehead,Parker-Coleman,1,1,19017.70,19017.65,21,5,2023-04-24,2023-04-24
Adam Williams,Greer-Scott,1,1,11310.20,11310.18,50,2,2022-05-04,2022-05-04
Adam Williams,Valentine Group,1,1,29209.50,29209.54,63,14,2019-10-10,2019-10-10
Adam Williamson,"Pacheco, Whitaker Rodriguez and",1,1,18859.40,18859.38,85,24,2020-01-31,2020-01-31
Adam Wilson,Lambert-Lane,1,1,11279.60,11279.58,75,10,2021-08-22,2021-08-22
Adam Wilson,Quinn-Romero,1,1,10077.80,10077.83,78,28,2023-12-22,2023-12-22
Adam Woodard,and Wright Sons,1,1,14910.10,14910.08,40,25,2022-05-04,2022-05-04
Adam Wright,Inc Ruiz,2,1,6843.52,3421.76,21,10,2023-11-23,2023-11-23
Adam Wyatt,Atkinson LLC,2,1,51259.90,25629.94,18,29,2023-11-14,2023-11-14
Adam Young,Simpson-Knox,1,1,30485.00,30484.96,46,13,2019-12-01,2019-12-01
Adrian Allen,Tate PLC,1,1,24473.80,24473.84,26,26,2020-03-03,2020-03-03
Adrian Allen,"Williams, Gomez and Rogers",1,1,24670.60,24670.64,37,15,2021-12-18,2021-12-18
Adrian Bates,"Massey and Brown Wang,",1,1,13183.40,13183.40,23,4,2021-03-20,2021-03-20
Adrian Booth,Richardson-Wallace,1,1,41203.60,41203.55,57,18,2023-05-12,2023-05-12
Adrian Brown,"and Hudson Le, Carter",1,1,46465.40,46465.41,84,24,2023-02-21,2023-02-21
Adrian Brown,Peters-Rosario,1,1,8636.37,8636.37,51,14,2021-04-09,2021-04-09
Adrian Butler,Burnett PLC,1,1,16139.30,16139.33,35,29,2024-02-27,2024-02-27
Adrian Cox,Thomas-Diaz,1,1,23462.60,23462.64,58,14,2021-06-18,2021-06-18
Adrian Davis,and Garrett Sons,1,1,7362.91,7362.91,81,5,2024-03-25,2024-03-25
Adrian Davis,Curry-Mendoza,1,1,34566.60,34566.61,22,24,2020-05-11,2020-05-11
Adrian Davis,"Duncan Sanchez, Campbell and",1,1,6660.05,6660.05,34,29,2023-11-27,2023-11-27
Adrian Dickson,Inc Williamson,2,1,100861.00,50430.43,69,15,2023-12-16,2023-12-16
Adrian Ford,"and Perez Rodriguez, Potts",1,1,13750.20,13750.17,80,25,2023-09-26,2023-09-26
Adrian Franco,Group Williams,1,1,5248.25,5248.25,70,16,2021-06-14,2021-06-14
Adrian Galvan,Richard-Garcia,2,1,81804.80,40902.41,28,30,2022-11-27,2022-11-27
Adrian Gamble,"and Olson Moore Simpson,",1,1,14229.80,14229.80,24,27,2024-04-14,2024-04-14
Adrian Garcia DDS,Palmer-Smith,1,1,1597.05,1597.05,58,28,2022-06-21,2022-06-21
Adrian Gonzalez,Wallace-Johnson,1,1,20688.30,20688.34,40,27,2020-02-23,2020-02-23
Adrian Henderson,Jones-Duffy,1,1,44291.70,44291.73,62,17,2019-07-02,2019-07-02
Adrian Herrera,Smith-Alexander,1,1,16113.50,16113.55,20,30,2021-01-25,2021-01-25
Adrian Jacobs PhD,"and Pittman Thomas, Stein",1,1,33345.60,33345.58,44,25,2023-01-28,2023-01-28
Adrian Joseph,Zavala-Sanchez,1,1,34180.70,34180.66,57,5,2021-10-26,2021-10-26
Adrian Lopez,"Collins Nelson Beck, and",1,1,25351.90,25351.92,38,6,2023-11-11,2023-11-11
Adrian Mills,"and Williams, Kim Burch",1,1,22916.00,22915.99,52,2,2020-02-10,2020-02-10
Adrian Nelson,Hutchinson LLC,1,1,39641.60,39641.63,80,15,2022-07-03,2022-07-03
Adrian Nicholson,"Meyer Atkins, Lewis and",1,1,26060.30,26060.32,80,19,2022-04-03,2022-04-03
Adrian Oconnell,Williams-Riley,1,1,22743.30,22743.33,85,10,2019-08-07,2019-08-07
Adrian Olsen,Miller-White,1,1,25102.90,25102.90,25,28,2023-02-25,2023-02-25
Adrian Powell,"Lutz, Lester and Kelly",1,1,18271.00,18271.00,41,11,2021-03-15,2021-03-15
Adrian Ray,"Smith, Johnson Wade and",1,1,6713.39,6713.39,64,9,2022-02-09,2022-02-09
Adrian Richards,Jones-Gray,1,1,44709.60,44709.57,31,7,2019-11-12,2019-11-12
Adrian Richmond,Travis-Williams,1,1,17456.20,17456.18,30,24,2020-09-26,2020-09-26
Adrian Ruiz,"and Ford, Juarez Campbell",2,1,88144.90,44072.46,41,30,2020-03-07,2020-03-07
Adrian Shannon,Marshall-Lewis,1,1,13761.80,13761.81,21,16,2023-01-08,2023-01-08
Adrian Smith,"King and Lee, Hester",1,1,40242.90,40242.89,32,10,2020-01-07,2020-01-07
Adrian Smith,"Newman and Maddox, Jones",1,1,49138.30,49138.33,31,27,2021-01-11,2021-01-11
Adrian Swanson,"and Gonzalez Smith, Arnold",1,1,38026.90,38026.85,80,24,2022-01-28,2022-01-28
Adrian Tran,Perry-Andrews,1,1,18174.40,18174.44,35,16,2023-08-12,2023-08-12
Adrian Vaughn,"Lopez Ingram, and Barber",1,1,26164.00,26163.99,61,19,2020-03-27,2020-03-27
Adrian Warren,"Lopez, and Wells Farrell",1,1,34344.60,34344.57,29,6,2024-03-19,2024-03-19
Adrian Zamora,Shea-Davis,1,1,23447.30,23447.34,72,26,2021-10-19,2021-10-19
Adriana Alvarez,"Ruiz Allen, and Shepherd",2,1,92099.10,46049.53,52,4,2021-10-29,2021-10-29
Adriana Alvarez,Scott-Randall,1,1,7225.55,7225.55,58,29,2022-08-30,2022-08-30
Adriana Boyle,Young-White,1,1,25517.10,25517.10,22,1,2019-11-09,2019-11-09
Adriana Bryant,Guzman-Norton,1,1,11185.70,11185.69,50,21,2019-08-26,2019-08-26
Adriana Colon,Wood Group,1,1,8140.82,8140.82,76,20,2021-02-15,2021-02-15
Adriana Duncan,"Montgomery and Baldwin, Martinez",1,1,32254.40,32254.44,28,22,2021-08-30,2021-08-30
Adriana Evans,Inc Johnson,2,1,51365.10,25682.54,44,4,2022-12-20,2022-12-20
Adriana Francis,Payne-Davis,2,1,39076.20,19538.12,31,5,2019-09-02,2019-09-02
Adriana Gates,Ltd Grimes,1,1,27285.10,27285.14,56,30,2022-03-05,2022-03-05
Adriana Gould,Barber-Page,1,1,40606.50,40606.46,38,6,2020-08-18,2020-08-18
Adriana Morrow,Johnson Group,1,1,26437.80,26437.77,44,9,2020-01-21,2020-01-21
Adriana Patton,Vargas Inc,1,1,3490.59,3490.59,49,18,2024-02-12,2024-02-12
Adriana Sullivan,"Schneider Burton, Conrad and",1,1,34426.80,34426.79,32,13,2021-07-22,2021-07-22
Adrienne Barry,Lucas-Henry,1,1,25169.20,25169.19,23,29,2023-06-04,2023-06-04
Adrienne Barry,"Wood, Lynch Smith and",2,1,1350.78,675.39,32,21,2021-04-21,2021-04-21
Adrienne Evans,"and Matthews, Wright Lambert",1,1,10609.30,10609.31,66,2,2022-10-26,2022-10-26
Adrienne Gibson,Palmer-Gonzalez,1,1,24254.50,24254.53,64,1,2021-08-29,2021-08-29
Adrienne Howard,"and Wright, Long Schroeder",1,1,34366.00,34366.00,59,6,2024-03-10,2024-03-10
Adrienne Jones,PLC Klein,1,1,27409.50,27409.53,65,23,2020-06-10,2020-06-10
Adrienne Kelley,"Everett, and Obrien Reeves",1,1,33133.40,33133.43,64,14,2024-02-27,2024-02-27
Adrienne Knight,Fuller-Allen,1,1,41672.20,41672.23,23,23,2021-09-23,2021-09-23
Adrienne Lopez,Walker-Barnett,1,1,46424.20,46424.22,33,6,2020-09-18,2020-09-18
Adrienne Matthews,"Hurst, Thompson and Walls",1,1,35284.20,35284.17,44,15,2019-06-25,2019-06-25
Adrienne Miles,Dyer-Schultz,1,1,16383.90,16383.94,57,8,2021-12-07,2021-12-07
Adrienne Oneill,Miller Group,1,1,45918.20,45918.21,19,26,2023-04-23,2023-04-23
Adrienne Reed,"and Ramirez Chan Oliver,",1,1,12720.20,12720.24,60,19,2020-01-27,2020-01-27
Adrienne Rodriguez,"Hale Garner, Schultz and",1,1,14918.00,14917.96,27,12,2020-02-06,2020-02-06
Adrienne Santiago,Ortiz-Henderson,2,1,92909.40,46454.70,50,21,2023-02-22,2023-02-22
Adrienne Schroeder,"Lewis Brown and Williams,",1,1,6873.57,6873.57,83,29,2023-03-16,2023-03-16
Adrienne Stevens,Cruz-Smith,1,1,32503.30,32503.30,31,26,2019-07-11,2019-07-11
Adrienne Taylor,"Stewart Lindsey and Myers,",1,1,28777.20,28777.21,54,6,2020-10-31,2020-10-31
Adrienne Terrell,Sons Clark and,1,1,27436.60,27436.62,55,12,2022-04-28,2022-04-28
Aimee Garcia,Cummings PLC,1,1,9305.84,9305.84,24,13,2020-07-31,2020-07-31
Aimee Johnson,Group Velazquez,2,1,24366.80,12183.41,40,5,2021-08-16,2021-08-16
Aimee Maxwell,Jarvis Inc,2,1,59329.00,29664.52,57,27,2020-02-29,2020-02-29
Aimee Mclean,"Nguyen Vasquez Perkins, and",1,1,31015.50,31015.51,60,12,2023-01-28,2023-01-28
Aimee Ramirez,"and Snyder Arnold, Sims",1,1,43066.70,43066.73,70,3,2023-12-14,2023-12-14
Aimee Reilly,Bright-Taylor,2,1,26540.60,13270.29,71,5,2024-02-19,2024-02-19
Aimee Rosario,"West Wong, Moore and",1,1,33746.20,33746.22,26,6,2022-12-13,2022-12-13
Aimee Russell,Gonzalez-Buckley,1,1,35582.30,35582.34,52,15,2019-09-19,2019-09-19
Aimee Russell,Walters-Walker,2,1,96879.50,48439.73,80,10,2024-02-12,2024-02-12
Aimee Sosa,"King Greer, and Gonzalez",1,1,13165.70,13165.67,83,6,2019-07-20,2019-07-20
Aimee Taylor,Perez-Small,1,1,27016.10,27016.09,66,14,2023-08-09,2023-08-09
Aimee Terry,"Rogers and Meza Callahan,",1,1,28597.80,28597.79,18,14,2023-03-22,2023-03-22
Aimee Terry,Washington-Mathis,1,1,33910.90,33910.95,71,27,2021-11-28,2021-11-28
Aimee Turner,Brady PLC,1,1,42191.20,42191.25,31,16,2021-06-04,2021-06-04
Alan Anderson,Group Hernandez,1,1,26353.20,26353.22,44,10,2022-06-01,2022-06-01
Alan Austin,Santos-Sparks,1,1,2301.84,2301.84,47,28,2022-07-27,2022-07-27
Alan Baker,Kelly-Jones,1,1,32192.20,32192.21,33,16,2019-08-10,2019-08-10
Alan Baldwin,Ross-Martinez,1,1,42836.20,42836.19,58,12,2023-04-22,2023-04-22
Alan Barnes,"Jones Watson Hall, and",1,1,3361.33,3361.33,30,3,2021-08-06,2021-08-06
Alan Beasley,Jones-Tyler,1,1,47360.00,47360.03,33,12,2023-04-19,2023-04-19
Alan Benson,Taylor Ltd,1,1,13162.50,13162.50,78,18,2021-01-02,2021-01-02
Alan Bradley,Day-Rodriguez,1,1,44034.00,44034.04,52,19,2024-01-19,2024-01-19
Alan Butler,Young-Lewis,1,1,12007.80,12007.80,43,14,2019-05-17,2019-05-17
Alan Cain,"Phillips Jones and Wu,",1,1,37544.80,37544.80,26,25,2022-01-16,2022-01-16
Alan Choi,Davis PLC,1,1,38104.00,38103.96,46,23,2023-01-11,2023-01-11
Alan Church,"Willis Irwin and Rogers,",1,1,5205.34,5205.34,70,16,2020-04-01,2020-04-01
Alan Collins,PLC Goodman,2,1,80681.90,40340.94,47,4,2022-07-04,2022-07-04
Alan Compton,"and West Rodriguez Parks,",1,1,9320.81,9320.81,35,24,2021-11-04,2021-11-04
Alan Evans,"Charles Mathews and Powell,",1,1,7571.53,7571.53,73,27,2021-10-16,2021-10-16
Alan Fernandez,Smith PLC,1,1,30395.60,30395.57,54,6,2021-04-28,2021-04-28
Alan Fletcher,Huffman-Flowers,1,1,7782.74,7782.74,57,15,2021-09-29,2021-09-29
Alan Friedman,Hernandez LLC,2,1,24886.20,12443.11,50,17,2022-08-25,2022-08-25
Alan Fuller,Garcia-House,1,1,23012.10,23012.09,19,29,2023-11-25,2023-11-25
Alan Gilbert,"and Lee Cobb, Haynes",1,1,43634.40,43634.35,26,1,2020-12-06,2020-12-06
Alan Hart,"and Woodard Martin Silva,",1,1,3634.53,3634.53,82,11,2023-07-14,2023-07-14
Alan Hart,Walters PLC,2,1,94284.40,47142.18,69,20,2022-05-07,2022-05-07
Alan Hendrix,Green-Castillo,1,1,42582.60,42582.62,46,23,2023-02-14,2023-02-14
Alan Hernandez,"Williams Wilson, and Cox",1,1,14795.40,14795.36,76,30,2022-04-09,2022-04-09
Alan Jones,Pratt Ltd,1,1,23859.40,23859.44,19,8,2019-09-13,2019-09-13
Alan Kline,Herrera-Hernandez,1,1,29965.80,29965.76,32,5,2023-12-11,2023-12-11
Alan Little,"Rodriguez, Campbell and Moore",2,1,14681.20,7340.62,86,24,2022-06-03,2022-06-03
Alan Long,"Adams West and Poole,",2,1,62947.30,31473.65,22,18,2022-07-10,2022-07-10
Alan Martinez,"Martin Taylor Johnson, and",1,1,8196.57,8196.57,32,21,2023-05-21,2023-05-21
Alan Mcfarland,"Sharp Mcintosh, Rivera and",1,1,14087.80,14087.78,41,8,2022-07-14,2022-07-14
Alan Michael,Scott-Clark,1,1,25844.40,25844.39,28,23,2020-10-24,2020-10-24
Alan Miller,Martinez-Long,1,1,47322.80,47322.84,71,9,2021-09-18,2021-09-18
Alan Moore,Potter LLC,1,1,15040.20,15040.18,71,16,2020-06-18,2020-06-18
Alan Morgan,Wang Ltd,1,1,47949.80,47949.77,60,11,2021-07-13,2021-07-13
Alan Morris,Group Hill,1,1,39822.50,39822.53,69,25,2024-04-11,2024-04-11
Alan Morris,Rose-Williams,1,1,32816.80,32816.81,49,9,2021-03-10,2021-03-10
Alan Murphy,and Keith Sons,1,1,22218.70,22218.65,30,20,2020-04-16,2020-04-16
Alan Murphy,"Martinez, Cooper and Taylor",1,1,18233.00,18233.01,59,9,2021-12-14,2021-12-14
Alan Owens,and Martinez Sons,1,1,37364.90,37364.94,54,16,2021-12-24,2021-12-24
Alan Pena,"and White Smith, Carroll",1,1,28085.70,28085.74,49,16,2022-01-21,2022-01-21
Alan Preston,Ortiz Inc,1,1,22415.30,22415.35,19,3,2021-08-03,2021-08-03
Alan Ritter,"Williams, Stewart Dickerson and",2,1,5396.50,2698.25,80,16,2021-01-12,2021-01-12
Alan Robinson,Fernandez and Sons,1,1,30496.80,30496.77,62,8,2022-02-21,2022-02-21
Alan Rubio,Henry-Bradford,1,1,26254.60,26254.58,19,5,2024-01-15,2024-01-15
Alan Russo,LLC Andrews,1,1,16276.30,16276.29,84,24,2021-05-29,2021-05-29
Alan Savage,"Bailey Perry and Hill,",1,1,27091.70,27091.67,54,29,2023-07-03,2023-07-03
Alan Scott,"Ramirez, Ferguson Chambers and",1,1,6513.95,6513.95,79,15,2020-08-05,2020-08-05
Alan Swanson,Ward Ltd,1,1,47713.20,47713.21,35,2,2021-01-04,2021-01-04
Alan Wade,Salas-Harris,1,1,47458.40,47458.39,69,24,2021-05-22,2021-05-22
Alan Williams,"Young, Davis and Farrell",1,1,39360.10,39360.14,35,15,2019-08-12,2019-08-12
Albert Brooks,Jackson-Page,1,1,26200.60,26200.61,38,10,2022-03-28,2022-03-28
Albert Carlson,Scott Sons and,1,1,39320.80,39320.83,56,28,2024-04-22,2024-04-22
Albert Coleman,Hayden-Casey,1,1,22596.10,22596.10,67,28,2019-07-27,2019-07-27
Albert Franco,Reeves Ltd,2,1,33629.50,16814.75,20,19,2022-06-30,2022-06-30
Albert Gibson,"and Fleming, Powell Bryant",1,1,17754.00,17754.04,29,9,2020-08-09,2020-08-09
Albert Goodwin,"Zhang, Wilson Beck and",1,1,45493.40,45493.40,22,4,2022-11-16,2022-11-16
Albert Gordon,"and Adams Cole, Payne",1,1,48016.30,48016.34,19,25,2019-06-12,2019-06-12
Albert Hall,Underwood-Richmond,1,1,22924.20,22924.15,44,2,2022-07-01,2022-07-01
Albert Johnson,and Scott Sons,1,1,17038.80,17038.76,75,20,2024-02-28,2024-02-28
Albert Johnston,Washington-Espinoza,1,1,15121.20,15121.25,85,23,2020-06-16,2020-06-16
Albert Knapp,Lee LLC,1,1,26364.30,26364.27,54,27,2020-06-11,2020-06-11
Albert Lowe,"Ward Boyd and Kim,",1,1,22573.40,22573.44,83,7,2021-11-29,2021-11-29
Albert Mendez,Patterson PLC,2,1,42662.60,21331.30,83,25,2019-11-23,2019-11-23
Albert Moore,Mcgee-Hernandez,1,1,29068.00,29068.01,72,9,2019-12-21,2019-12-21
Albert Owen,Cook-Smith,1,1,21115.70,21115.65,79,14,2020-04-25,2020-04-25
Albert Powell,"Fernandez Christensen, and Rivera",1,1,29033.60,29033.61,74,24,2021-02-24,2021-02-24
Albert Rice,Sawyer-Marshall,1,1,14596.10,14596.07,73,17,2022-10-09,2022-10-09
Albert Small,LLC Moore,1,1,38411.20,38411.23,56,11,2021-02-05,2021-02-05
Albert Smith DVM,Dorsey-Mcguire,1,1,7667.19,7667.19,42,1,2022-11-20,2022-11-20
Albert Taylor,"Graham Johnston, Shepherd and",1,1,43214.10,43214.14,51,21,2020-07-04,2020-07-04
Albert Taylor,"Parrish Griffin and Burke,",1,1,18453.80,18453.80,81,14,2023-04-02,2023-04-02
Albert Terry,LLC Mahoney,1,1,38223.10,38223.06,56,10,2023-12-31,2023-12-31
Albert Thompson,"and Kidd, Martinez Acevedo",1,1,29891.80,29891.83,73,7,2023-10-19,2023-10-19
Albert Valenzuela,"Oliver Richardson and Davis,",1,1,27752.80,27752.82,54,15,2023-02-28,2023-02-28
Albert Williams,"Nguyen Obrien, Morales and",1,1,27050.10,27050.10,83,16,2023-08-17,2023-08-17
Albert Wilson,Odonnell Ltd,1,1,18069.30,18069.28,52,2,2023-10-14,2023-10-14
